product_id,product_name,product_regime_tag,jurisdiction_code,jurisdiction_name,region,regulation_name,regulation_ref,enforcement_body,key_requirements,status,criticality,notes
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Cosmetics Regulation,(EC) No 1223/2009,EC DG GROW + NCAs,CPNP notification; PIF; Responsible Person; safety assessment Annex I; labelling Art. 19,in_force,critical,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Cosmetics Regulation — Annexes II/III restrictions updates,Regulation (EU) 2024/996,EC DG GROW,CMR substances restrictions; preservative/fragrance allergens updates,in_force,high,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU CLP Regulation,(EC) No 1272/2008,ECHA,"Classification, labelling, packaging of hazardous substances",in_force,high,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU REACH Regulation,(EC) No 1907/2006,ECHA,Registration of substances >1t; SVHC notification; Annex XVII restrictions,in_force,high,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Detergents Regulation (surfactants biodegradability),(EC) No 648/2004,EC DG ENV,Biodegradability of surfactants; label rules where shampoo qualifies as detergent,in_force,medium,Borderline — applies if marketed as cleaning
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Packaging and Packaging Waste Regulation (PPWR),Regulation (EU) 2025/40,EC DG ENV,"Recyclability, recycled content targets, labelling for cosmetics packaging",in_force,high,Replaces Directive 94/62/EC
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Microplastics restriction,(EU) 2023/2055 amending Annex XVII REACH,ECHA,Ban of intentionally added microplastics — phase-out for rinse-off cosmetics,in_force,high,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Green Claims Directive (proposal),COM(2023)166,EC DG ENV,"Substantiation/verification of environmental claims (natural, bio)",draft,medium,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Empowering Consumers for Green Transition Directive,(EU) 2024/825,EC DG JUST,Ban of generic environmental claims; transparency on durability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,ISO 22716 GMP (referenced in 1223/2009 Art. 8),ISO 22716:2007,ISO via national bodies,"Cosmetics GMP — production, control, storage, shipping",in_force,critical,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,European Union general consumer protection law,National consumer protection statute (EU),European Union consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,European Union customs / import control,National customs code (EU),European Union customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,European Union mandatory language labelling,National language/labelling law (EU),European Union consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,European Union restrictions on cosmetic claims,National advertising/claim rules (EU),European Union advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,European Union cosmetic packaging / waste rules,National packaging/EPR scheme (EU),European Union environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Austria,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,National cosmetic surveillance authority decree,National implementing law (AT),Austria health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (AT),Austria health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,National language labelling requirement,Consumer protection code (AT),Austria consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (AT),Austria market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria GPSR transposition,National enforcement of EU 2023/988 (AT),Austria consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria general consumer protection law,National consumer protection statute (AT),Austria consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria customs / import control,National customs code (AT),Austria customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria mandatory language labelling,National language/labelling law (AT),Austria consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria restrictions on cosmetic claims,National advertising/claim rules (AT),Austria advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,AT,Austria,Europe,Austria cosmetic packaging / waste rules,National packaging/EPR scheme (AT),Austria environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Belgium,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,National cosmetic surveillance authority decree,National implementing law (BE),Belgium health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (BE),Belgium health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,National language labelling requirement,Consumer protection code (BE),Belgium consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Arrêté royal produits cosmétiques,AR 17.07.2012,FAGG/AFMPS,BE implementation; vigilance,in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (BE),Belgium market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium GPSR transposition,National enforcement of EU 2023/988 (BE),Belgium consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium general consumer protection law,National consumer protection statute (BE),Belgium consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium customs / import control,National customs code (BE),Belgium customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium mandatory language labelling,National language/labelling law (BE),Belgium consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium restrictions on cosmetic claims,National advertising/claim rules (BE),Belgium advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,BE,Belgium,Europe,Belgium cosmetic packaging / waste rules,National packaging/EPR scheme (BE),Belgium environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Bulgaria,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,National cosmetic surveillance authority decree,National implementing law (BG),Bulgaria health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (BG),Bulgaria health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,National language labelling requirement,Consumer protection code (BG),Bulgaria consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (BG),Bulgaria market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria GPSR transposition,National enforcement of EU 2023/988 (BG),Bulgaria consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria general consumer protection law,National consumer protection statute (BG),Bulgaria consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria customs / import control,National customs code (BG),Bulgaria customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria mandatory language labelling,National language/labelling law (BG),Bulgaria consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria restrictions on cosmetic claims,National advertising/claim rules (BG),Bulgaria advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,BG,Bulgaria,Europe,Bulgaria cosmetic packaging / waste rules,National packaging/EPR scheme (BG),Bulgaria environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Croatia,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,National cosmetic surveillance authority decree,National implementing law (HR),Croatia health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (HR),Croatia health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,National language labelling requirement,Consumer protection code (HR),Croatia consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (HR),Croatia market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia GPSR transposition,National enforcement of EU 2023/988 (HR),Croatia consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia general consumer protection law,National consumer protection statute (HR),Croatia consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia customs / import control,National customs code (HR),Croatia customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia mandatory language labelling,National language/labelling law (HR),Croatia consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia restrictions on cosmetic claims,National advertising/claim rules (HR),Croatia advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,HR,Croatia,Europe,Croatia cosmetic packaging / waste rules,National packaging/EPR scheme (HR),Croatia environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Cyprus,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,National cosmetic surveillance authority decree,National implementing law (CY),Cyprus health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (CY),Cyprus health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,National language labelling requirement,Consumer protection code (CY),Cyprus consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (CY),Cyprus market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus GPSR transposition,National enforcement of EU 2023/988 (CY),Cyprus consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus general consumer protection law,National consumer protection statute (CY),Cyprus consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus customs / import control,National customs code (CY),Cyprus customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus mandatory language labelling,National language/labelling law (CY),Cyprus consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus restrictions on cosmetic claims,National advertising/claim rules (CY),Cyprus advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,CY,Cyprus,Europe,Cyprus cosmetic packaging / waste rules,National packaging/EPR scheme (CY),Cyprus environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Czech Republic,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,National cosmetic surveillance authority decree,National implementing law (CZ),Czech Republic health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (CZ),Czech Republic health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,National language labelling requirement,Consumer protection code (CZ),Czech Republic consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (CZ),Czech Republic market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic GPSR transposition,National enforcement of EU 2023/988 (CZ),Czech Republic consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic general consumer protection law,National consumer protection statute (CZ),Czech Republic consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic customs / import control,National customs code (CZ),Czech Republic customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic mandatory language labelling,National language/labelling law (CZ),Czech Republic consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic restrictions on cosmetic claims,National advertising/claim rules (CZ),Czech Republic advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,CZ,Czech Republic,Europe,Czech Republic cosmetic packaging / waste rules,National packaging/EPR scheme (CZ),Czech Republic environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Denmark,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,National cosmetic surveillance authority decree,National implementing law (DK),Denmark health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (DK),Denmark health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,National language labelling requirement,Consumer protection code (DK),Denmark consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (DK),Denmark market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark GPSR transposition,National enforcement of EU 2023/988 (DK),Denmark consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark general consumer protection law,National consumer protection statute (DK),Denmark consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark customs / import control,National customs code (DK),Denmark customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark mandatory language labelling,National language/labelling law (DK),Denmark consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark restrictions on cosmetic claims,National advertising/claim rules (DK),Denmark advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,DK,Denmark,Europe,Denmark cosmetic packaging / waste rules,National packaging/EPR scheme (DK),Denmark environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Estonia,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,National cosmetic surveillance authority decree,National implementing law (EE),Estonia health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (EE),Estonia health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,National language labelling requirement,Consumer protection code (EE),Estonia consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (EE),Estonia market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia GPSR transposition,National enforcement of EU 2023/988 (EE),Estonia consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia general consumer protection law,National consumer protection statute (EE),Estonia consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia customs / import control,National customs code (EE),Estonia customs authority,"Import declaration, classification, duties, prohibited goods checks",in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia mandatory language labelling,National language/labelling law (EE),Estonia consumer/language authority,Mandatory product labelling in official language(s),in_force,medium,Cross-cutting baseline
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia restrictions on cosmetic claims,National advertising/claim rules (EE),Estonia advertising standards / consumer authority,Substantiation of cosmetic claims; restrictions on therapeutic claims,in_force,medium,
1,Shampoing,Cosmétique rinse-off,EE,Estonia,Europe,Estonia cosmetic packaging / waste rules,National packaging/EPR scheme (EE),Estonia environment / EPR authority,Producer responsibility for packaging waste; recyclability,in_force,medium,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,EU Cosmetics Regulation (directly applicable),(EC) No 1223/2009,National competent authority of Finland,CPNP notification; PIF in local/EU language,in_force,critical,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,National cosmetic surveillance authority decree,National implementing law (FI),Finland health/market surveillance,"National market surveillance, sanctions, language",in_force,high,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,National Cosmetovigilance system,National pharmacovigilance/cosmetovigilance scheme (FI),Finland health authority,Adverse event reporting to national agency,in_force,high,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,National language labelling requirement,Consumer protection code (FI),Finland consumer protection authority,Mandatory labelling in official language(s),in_force,high,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,Finland CE marking enforcement,National implementation of EU 765/2008 + 2019/1020 (FI),Finland market surveillance authority,CE marking + EU declaration of conformity surveillance,in_force,high,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,Finland GPSR transposition,National enforcement of EU 2023/988 (FI),Finland consumer authority,General product safety + RAPEX/Safety Gate notifications,in_force,high,
1,Shampoing,Cosmétique rinse-off,FI,Finland,Europe,Finland general consumer protection law,National consumer protection statute (FI),Finland consumer authority,"Baseline consumer rights, misleading claims, warranties",in_force,medium,Cross-cutting baseline
